--- 
? !ruby/symbol en
: 
  АБАЙ: " ABAY "
  АЛМА-АТА: " ALMA-ATA "
  АЛМАЛЫК: " ALMALIK "
  АЛНАШИ: " Alnashi "
  АЛТАЙСКИЙ: " ALTAI "
  АЛТЫАРЫК: " Altiarik "
  АЛТЫНКУЛЬ: " Altinkul "
  АЛУКСНЕ: " ALUKSNE "
  АЛУШТА: " Alushta "
  АЛЬМЕНЕВО: " ALMENEVO "
  АЛЬМЕТЬЕВСК: " Almetjevsk "
  АМВРОСИЕВКА: " Amvrosiyivka "
  АМГА: " Amga "
  АМУРСК: " AMURSKAYA "
  АНАНЬЕВ: " ANANIEV "
  АНАПА: " Anapa "
  АНГАРСК: " ANGARSK "
  АНГОР: " ANGORA "
  АНГРЕН: " POLICIES "
  АНДИЖАН: " Andijan "
  АНДРЕАПОЛЬ: " Andreapol "
  АНДРИАНОВО: " ANDRIANOVA "
  АНДРОНОВСКОЕ: " Andronovo"
  АНДРУШЕВКА: "Andrushevka "
  АНЖЕРО-СУДЖЕНСК: " Angers-Sudzhensk "
  АНИВА: " ANIVA "
  АНИКЩЯЙ: " Anykščiai "
  АНИНО: " Anya "
  АННА: " ANNA "
  АННАУ: " ANNA "
  АНРЕЕВКА: " ANREEVKA "
  АНТРАЦИТ: " ANTHRACENE "
  АНТРОПОВО: " Antropov "
  АНУЧИНО: " Anuchina "
  АПАРАН: " Aparan "
  АПАСТОВО: " APASTOVO "
  АПАТИТЫ: " Apatity "
  АПОСТОЛОВО: " Apostolove "
  АПШЕРОНСК: " ABSHERON "
  АРАВАН: " Aravan "
  АРБУЗИНКА: " Arbuzinka "
  АРГАЯШ: " Argayash "
  АРГУН: " Argun "
  АРДАТОВ: " Ardatov "
  АРДОН: " ARDON "
  АРЗАМАС: " Arzamas "
  АРКАДАК: " Arkadak "
  АРКАЛЫК: " Arkalyk"
  АРМАВИР: "ARMAVIR "
  АРСЕНЬЕВ: " ARSENOV "
  АРСЕНЬЕВО: " Arsen&#39;eva "
  АРСК: " ARSK "
  АРТАШАТ: " Artashat "
  АРТЕМ: " Artem "
  АРТЕМОВСК: " ARTYOMOVSK "
  АРТЕМОВСКИЙ: " ARTYOMOVSK "
  АРТИ: " ARTI "
  АРТИК: " Artik "
  АРХАНГЕЛЬСК: " Arkhangelsk "
  АРХАНГЕЛЬСКОЕ: " Arkhangelsk "
  АРХОНКА: " ARHONKA "
  АРЦИЗ: " Artsiz "
  АРЫКБАЛЫК: " ARYKBALYK "
  АСБЕСТ: " ASBESTOS "
  АСИНО: " Asino "
  АСКАРОВО: " Askarova "
  АСКИНО: " Askin "
  АССА: " ACCA "
  АСТАРА: " ASTARA "
  АСТРАХАНКА: " Astrakhanka "
  АСТРАХАНЬ: " Astrakhan "
  АТБАСАР: " Atbasar "
  АТБАШИ: " Atbash"
  АТКАРСК: "Atkarsk "
  АТЮРЬЕВО: " ATYUREVO "
  АТЯШЕВО: " ATYASHEVO "
  АХАЛКАЛАКИ: " Akhalkalaki "
  АХАНГАРАН: " Ahangaran "
  АХМЕТА: " Ahmet "
  АХСУ: " Achsah "
  АХТУБИНСК: " Akhtubinsk "
  АХТЫРКА: " Okhtirka "
  АХУНБАБАЕВ: " Akhunbabaev "
  АЧИНСК: " ACHINSK "
  АЧХОЙ-МАРТАН: " Achkhoi-Martan "
  АШТАРАК: " ASHTARAK "
  АШХАБАД: " Ashgabat "
  АЯГУЗ: " Ayaguz "
  Б-БЕРЕЗНИКИ: " B-Berezniki "
  Б-ВЛАДИМИРОВКА: " B-Vladimirovka "
  Б-ГЛУШИЦА: " B-Głuszyca "
  Б-ИГНАТОВО: " B-Ignatova "
  Б-ИЖОРА: " B - IZHORA "
  Б-КОЛПАНЫ: " B-КОЛПАНЫ "
  Б-МАРТЫНОВКА: " B-Martynovka "
  Б-НАГАТКИНО: " B-NAGATKINO "
  Б-СОЛДАТСКОЕ: " B-SOLDIERS "
  Б-СОРОКИНО: " B-SOROKIN"
  Б-СОСНОВКА: "B-Sosnovka "
  Б-ЧЕРНИГОВКА: " B-Chernigovka "
  БАБАЕВО: " BABAYEVA "
  БАБУШКИНО: " GRANDMOTHER "
  БАБЫЛИНО: " BABYLINO "
  БАВЛЫ: " Bavli "
  БАГАЕВСКОЕ: " Bagaevskaya "
  БАГАН: " Bagan "
  БАГАТ: " Bagat "
  БАГДАД: " BAGHDAD "
  БАГРАТИОНОВСК: " Bagrationovsk "
  БАЕВО: " Baev "
  БАЗ-КАРБУЛАК: " BAZ KARBULAK "
  БАЗАР-КОРГОН: " Bazar-Korgon "
  ? "БАЗАРНЫЕ МАТАКИ"
  : " BAZARNAYA Mataka "
  БАЙКАДАМ: " Baikadam "
  БАЙРАМ-АЛИ: " Bairam-Ali "
  БАЙСУН: " BAYSUN "
  БАКАЛЫ: " Bacale "
  БАКАНАС: " Bakanas "
  БАКСАН: " Baksan "
  БАКУ: " Baku "
  БАЛАБАНОВО: " Balabanova "
  БАЛАКЛЕЯ: " Balakliya "
  БАЛАКОВО: " Balakovo"
  БАЛАХНА: "Balakhna "
  БАЛАХТА: " BALAHTA "
  БАЛАШОВ: " Balashov "
  БАЛВИ: " Balvi "
  БАЛЕВИНО: " BALEVINO "
  БАЛЕЗИНО: " Balezino "
  БАЛЕЙ: " Bailey "
  БАЛКАШИНО: " Balkashinov "
  БАЛТА: " BALT "
  БАЛТАЙ: " Baltaev "
  БАЛТАСИ: " Baltasi "
  БАЛТИЙСК: " BALTIISK "
  БАЛХАШ: " BALKHASH "
  БАЛЫКЧИ: " Balykchi "
  БАРАБИНСК: " Barabinsk "
  БАРАНОВИЧИ: " Gomel "
  БАРАНОВКА: " Baranovka "
  БАРВЕНКОВО: " Barvinkove "
  БАРГУЗИН: " BARGUZIN "
  БАРДА: " BARDA "
  БАРНАУЛ: " Barnaul "
  БАРШАТАС: " BARSHATAS "
  БАРЫШ: " BARYSHEV "
  БАРЫШЕВКА: " Barishivka "
  БАРЯТИНО: " BARYATINO"
  БАТАЙСК: "Bataisk "
  БАТАМШИНСКИЙ: " BATAMSHINSKY "
  БАТЕЦКИЙ: " Batetskaya "
  БАТОВО: " BATOVA "
  БАТУМИ: " Batumi "
  БАТЫРЕВО: " Batyrevo "
  БАУСКА: " BAUSKAS "
  БАХАРДЕН: " Baharden "
  БАХМАЧ: " Bahmach "
  БАХЧИСАРАЙ: " BAHCHISARAY "
  БАШМАКОВО: " Bashmakova "
  БАШТАНКА: " Bashtanka "
  БЕДНОДЕМЯНСК: " BEDNODEMYANSK "
  БЕЖАНИЦЫ: " BEZHANITSY "
  БЕЖЕЦК: " Bezhetsk "
  БЕЗЕНЧУК: " Bezenchuk "
  БЕЗМЕИН: " Bezmein "
  БЕЙЛАГАН: " BEYLAGAN "
  БЕКАБАД: " Bekabad "
  БЕЛАЯ: " WHITE "
  ? "БЕЛАЯ ГЛИНА"
  : " WHITE CLAY "
  ? "БЕЛАЯ КАЛИТВА"
  : " WHITE Kalitva "
  ? "БЕЛАЯ ХОЛУНИЦА"
  : " WHITE Kholunitsa "
  ? "БЕЛАЯ ЦЕРКОВЬ"
  : " WHITE CHURCH "
  БЕЛГОРОД: " Belgorod"
  БЕЛЕБЕЙ: "Belebej "
  БЕЛЕВ: " Belev "
  БЕЛИНСКИЙ: " BELINSKY "
  БЕЛОВО: " BELOV "
  БЕЛОВОДСК: " Belovodsk "
  БЕЛОГОРСК: " Belogorsk "
  БЕЛОГОРЬЕ: " Belogorie "
  БЕЛОЗЕРКА: " Belozerka "
  БЕЛОЗЕРСК: " BELOZERSK "
  БЕЛОЗЕРСКОЕ: " BELOZERSK "
  БЕЛОКУРАКИНО: " Belokurakino "
  БЕЛОКУРИХА: " Belokurikha "
  БЕЛОМОРСК: " BELOMORSKO "
  БЕЛОПОЛЬЕ: " Belopole "
  БЕЛОРЕЦК: " Beloreck "
  БЕЛОРЕЧЕНСК: " Belorechensk "
  БЕЛОЯРСКИЙ: " Beloyarsk "
  ? "БЕЛЫЕ ВОДЫ"
  : " WHITE WATER "
  БЕЛЫЙ: " White "
  ? "БЕЛЫЙ ЯР"
  : " White DM "
  БЕЛЫНИЧИ: " Bialynichy "
  БЕЛЬЦЫ: " BALTI "
  БЕЛЯЕВКА: " Belyaevka "
  БЕНДЕРЫ: " Bendery "
  БЕРД: " BYRD"
  БЕРДИГЕСТЯХ: "BERDIGESTYAH "
  БЕРДИЧЕВ: " Berdichiv "
  БЕРДСК: " Berdsk "
  БЕРДЮЖЬЕ: " BERDYUZHE "
  БЕРДЯНСК: " Berdyansk "
  БЕРЕГОВО: " ONSHORE "
  БЕРЕЖАНЫЙ: " Berezhany "
  БЕРЕЖКИ: " Berezhki "
  БЕРЕЗА: " BIRCH "
  БЕРЕЗАНКА: " Berezanka "
  БЕРЕЗИНО: " BEREZINA "
  БЕРЕЗНИГОВАТОЕ: " BEREZNIGOVATOE "
  БЕРЕЗНИК: " Bereznik "
  БЕРЕЗНИКИ: " Bereznik "
  БЕРЕЗНО: " Berezno "
  БЕРЕЗОВКА: " Berezovka "
  БЕРЕЗОВО: " BIRCH "
  БЕРЕЗОВСКИЙ: " Berezovsky "
  БЕРЕСТОВИЦА: " Bierastavica "
  БЕРИСЛАВ: " Berislav "
  БЕРУНИ: " BERUNI "
  БЕРШАДЬ: " Bershad "
  БЕСЛАН: " Beslan "
  БЕССАРАБКА: " Besarabka "
  БЕССОНОВКА: " Bessonovka"
  БЕШЕНКОВИЧИ: "Beshenkovichi "
  БЕШКЕНТ: " Beshkent "
  БЕШРАБАТ: " BESHRABAT "
  БИЖБУЛЯК: " BIZHBULYAK "
  БИЙСК: " BIYSK "
  БИЛИБИНО: " Bilibin "
  БИРЖАЙ: " Birzhan "
  БИРОБИДЖАН: " Birobidzhan "
  БИРСК: " Birsk "
  БИРШТОНАС: " Birstonas "
  БИЧУРА: " BICHURA "
  БЛАГОВЕЩЕНКА: " BLAGOVESCHENKA "
  БЛАГОВЕЩЕНСК: " Blagoveshchensk "
  БЛАГОДАРНЫЙ: " Credits "
  БЛИЗНЮКИ: " Bliznyuki "
  БОБРИНЕЦ: " Bobrinets "
  БОБРОВ: " BOBROV "
  БОБРОВИЦА: " Bobrovica "
  БОБРУЙСК: " Bobruisk "
  ? "БОГАТЫЕ САБЫ"
  : " RICH Saba "
  БОГДАНОВИЧ: " BOGDANOVICH "
  БОГДАНОВКА: " Bogdanovka "
  БОГОДУХОВ: " Bogodukhiv "
  БОГОРОДИЦК: " Bogoroditsk "
  БОГОРОДСК: " BOGORODSKAYA"
  БОГОРОДСКОЕ: "BOGORODSKAYA "
  БОГОРОДЧАНЫ: " Bogorodchany "
  БОГУСЛАВ: " BOHUSLAV "
  БОГУЧАР: " Boguchar "
  БОЛГРАД: " Bolgrad "
  БОЛНИСИ: " Bolnisi "
  БОЛОГОЕ: " BOLOGOE "
  БОЛОТНОЕ: " FEN "
  БОЛХОВ: " Bolqu "
  ? "БОЛЬШАЯ МУРТА"
  : " Large URTI "
  БОЛЬШЕНАРЫМСКОЕ: " BOLSHENARYMSKOE "
  БОЛЬШЕРЕЧЬЕ: " Bolsherechye "
  ? "БОЛЬШИЕ УКИ"
  : " LONG USP "
  ? "БОЛЬШОЙ КАМЕНЬ"
  : " BIG STONE "
  ? "БОЛЬШОЙ УЛУЙ"
  : " BIG ULUY "
  БОНДАРИ: " Bondar "
  БОРЗНА: " BORZNA "
  БОРИСЛАВ: " Borislav "
  БОРИСОВ: " Boris "
  ? "БОРИСОВА ГРИВА"
  : " BORISOVA HRIVNAS "
  БОРИСОВКА: " Borisovka "
  БОРИСОГЛЕБСК: " BORISOGLEBSKY "
  БОРИСОГЛЕБСКИЙ: " BORISOGLEBSKY "
  БОРИСПОЛЬ: " BORYSPIL "
  БОРОВАЯ: " БОРОВАЯ"
  БОРОВИЧИ: "Borovich "
  БОРОВОЕ: " БОРОВОЕ "
  БОРОВСК: " BOROVSKY "
  БОРОВСКОЙ: " BOROVSKY "
  БОРОГОНЦЫ: " BOROGONTSY "
  БОРОДИНО: " Borodino "
  БОРОДУЛИХА: " BORODULIHA "
  БОРОДЯНКА: " Borodyanka "
  БОРСКОЕ: " Bor "
  БОРШОВ: " Borsa "
  БРАГИН: " Bragin "
  БРАСЛАВ: " Braslaw "
  БРАТСК: " Bratsk "
  БРАТСКОЕ: " Bratsk "
  БРЕДЫ: " Breda "
  БРЕСТ: " Brest "
  БРИЧАНЫ: " BRICENI "
  БРОВАРЫ: " BROVARY "
  БРОДЫ: " BRODY "
  БРЮХОВЕЦКАЯ: " Silo "
  БРЯНКА: " Bryanka "
  БРЯНСК: " BRYANSK "
  БУГУЛЬМА: " Bugulma "
  БУГУРУСЛАН: " Buguruslan "
  ? "БУДА КОШЕЛЕВО"
  : " BUDA Koshelev"
  БУДЕННОВСК: "Budennovsk "
  БУДОГОШЬ: " BUDOGOSH "
  БУЗДЯК: " Buzdyak "
  БУЗУЛУК: " Busuluk "
  БУИНСК: " Buinsk "
  БУКА: " BEECH "
  БУЛАЕВО: " Bulaevo "
  БУРНОЕ: " BURNO "
  БУРШТЫН: " Burshtyn "
  БУРЫНЬ: " Burin "
  БУСК: " BUSCO "
  БУСТАН: " Bustan "
  БУСТОН: " Buston "
  БУТУРЛИНОВКА: " Buturlinovka "
  БУХАРА: " Bukhara "
  БУЧАЧ: " Buchach "
  БЫКОВО: " BYKOV "
  БЫСТРОВКА: " Bystrovka "
  ? "БЫСТРЫЙ ИСТОК"
  : " Quick Istok "
  БЫХОВ: " Bychaŭ "
  В-АЛЕКСАНДРОВКИ: " In-Aleksandrovka "
  В-БАГАЧКА: " In-Bagachka "
  В-ЛЕПТИХА: " In -LEPTIHA "
  В-МИХАЙЛОВКА: " In-Mikhajlovka "
  В-НОВОСЕЛКА: " In-Novoselka"
  В-РОГАЧИК: "In-Rogachik "
  ВАБКЕНТ: " Vabkent "
  ВАВОЖ: " VAVOZH "
  ВАДИНСК: " VADINSK "
  ВАДУЛ-ЛУЙ-ВОДЭ: " Vadul-lui-Voda "
  ВАЖИНЫ: " Vazhiny "
  ВАЛГА: " VALGA "
  ВАЛДАЙ: " VALDAY "
  ВАЛИХАНОВО: " Valikhanov "
  ВАЛКА: " ROLLS "
  ВАЛКИ: " ROLLS "
  ВАЛМИЕРА: " VALMIERA "
  ВАЛУЙКИ: " Valuiki "
  ВАНИНО: " Busan "
  ВАННОВКА: " VANNOVKA "
  ВАРВА: " Varva "
  ВАРГАШИ: " Vargas "
  ВАРДЕНИС: " VARDENIS "
  ВАРЕНА: " Varena "
  ВАРНА: " Varna "
  ВАРТЕМЯГИ: " VARTEMYAGI "
  ВАСИЛЬЕВКА: " Vasilevka "
  ВАСИЛЬКОВ: " VASILKOV "
  ВАСИЛЬКОВКА: " Vasilkivka "
  ВАХРУШИ: " Vakhrushev"
  ВАХШ: "Vakhsh "
  ВАЧА: " VACHA "
  ВЕДЕНО: " manuf "
  ВЕДЫ: " Veda "
  ВЕЙДЕЛЕВКА: " VEYDELEVKA "
  ВЕКИЛЬ-БАЗАР: " vekil-BAZAAR "
  ВЕЛ-БЕРЕЗНЫЙ: " GBR-Berezniy "
  ВЕЛ-ПИСАРЕВКА: " GBR-Pisarevka "
  ВЕЛИЖ: " Velizh "
  ? "ВЕЛИКИЕ ЛУКИ"
  : " GREAT LUKE "
  ? "ВЕЛИКИЙ БУРЛУК"
  : " THE GREAT Burluk "
  ? "ВЕЛИКИЙ УСТЮГ"
  : " GREAT USTYUG "
  ВЕЛЬСК: " Velsk "
  ВЕНГЕРОВО: " Vengerov "
  ВЕНЕВ: " Venev "
  ВЕНТСПИЛС: " Ventspils "
  ВЕРЕЩАГИНО: " VERESHCHAGIN "
  ВЕРТЕМЯГИ: " VERTEMYAGI "
  ВЕРХ-УСУГЛИ: " TOP-Usugli "
  ВЕРХ-ЧЕБУЛА: " TOP -CHEBULA "
  ВЕРХНЕВИЛЮЙСК: " Verkhnevilyuisk "
  ВЕРХНЕВОЛЫНСКОЕ: " VERHNEVOLYNSKOE "
  ВЕРХНЕДВИНСК: " Vierchniadźvinsk "
  ВЕРХНЕДНЕПРОВСК: " Verkhnodniprovsk "
  ВЕРХНЕУРАЛЬСК: " Verkhneuralsk"
  ВЕРХНЕЯРКЕЕВО: "VERHNEYARKEEVO "
  ? "ВЕРХНИЙ МАМОН"
  : " Top MAMONOV "
  ? "ВЕРХНИЙ УСЛОН"
  : " Top USLON "
  ? "ВЕРХНИЙ УФАЛЕЙ"
  : " Top Ufaley "
  ? "ВЕРХНЯЯ ПЫШМА"
  : " Pishma "
  ВЕРХОВАЖЬЕ: " Verkhovazh&#39;ye "
  ВЕРХОВИНА: " Verhovina "
  ВЕРХОВЬЕ: " Horse "
  ВЕРХОШИЖЕМЬЕ: " VERHOSHIZHEME "
  ВЕСЕЛИНОВО: " Veselinovo "
  ВЕСЕЛОЕ: " MERRY "
  ВЕСЕЛЫЙ: " VESELY "
  ВЕСЬЕГОНСК: " Vesyegonsk "
  ВЕТКА: " BRANCH "
  ВЕШЕНСКАЯ: " Veshenskaya "
  ВЕШКАЙМА: " VESHKAYMA "
  ВЕЩЕВО: " Veshchev "
  ВИЖНИЦА: " Vizhnica "
  ВИЗИНГА: " Vizing "
  ВИКУЛОВО: " Vikulovo "
  ВИЛЕЙКА: " Vialejka "
  ВИЛКАВИШКИС: " Vilkaviskis "
  ВИЛЬНЮС: " VILNIUS "
  ВИЛЬЯНДИ: " VILJANDI "
  ВИЛЮЙСК: " VILUY"
  ВИННИЦА: "VINNYTSIA "
  ВИНОГРАДОВ: " Grape "
  ВИНЬКОВЦЫ: " Vinkivtsi "
  ВИСКА: " Whiskey "
  ВИТЕБСК: " Vitebsk "
  ВИЧУГА: " Vichuga "
  ВИШНЕВКА: " Vishnevka "
  ВЛАДИВОСТОК: " Vladivostok "
  ВЛАДИМИР: " Vladimir "
  ВЛАДИМИР-АЛЕК: " Vladimir-ALEKO "
  ВЛАДИМИР-ВОЛЫНС: " Vladimir-VOLYNS "
  ВЛАДИМИРЕЦ: " Volodimirets "
  ВОЖЕГА: " Vozhega "
  ВОЗВЫШЕНКА: " VOZVYSHENKA "
  ВОЗНЕСЕНСК: " Ascension "
  ВОЗНЕСЕНЬЕ: " Ascension "
  ВОЙСКОВИЦЫ: " VOYSKOVITSY "
  ВОЙСКОРОВО: " VOYSKOROVO "
  ВОЛГОГРАД: " Volgograd "
  ВОЛГОДОНСК: " Volgodonsk "
  ВОЛГОРЕЧЕНСК: " Volgorechensk "
  ВОЛЖСК: " VOLGA "
  ВОЛЖСКИЙ: " VOLGA "
  ВОЛКОВЫСК: " Vaŭkavysk "
  ВОЛНОВАХА: " Volnovaha"
  ВОЛОВО-ЛИПЕЦК: "Ox-LIPETSK "
  ВОЛОВО-ТУЛА: " ox-TULA "
  ВОЛОГДА: " Vologda "
  ВОЛОДАР-ВОЛЫНСК: " Valadar-VOLYNSKOE "
  ВОЛОДАРКА: " Volodarka "
  ВОЛОДАРСКИЙ: " Volodarsk "
  ВОЛОДАРСКОЕ-ДОН: " Volodarsk-DON "
  ВОЛОДАРСКОЕ-КОК: " Volodarsk-CCO "
  ВОЛОЖИН: " VOLOZHIN "
  ВОЛОКАЛАМСК: " Volokalamskoe "
  ВОЛОКОНОВКА: " VOLOKONOVKA "
  ВОЛОСОВО: " Volosovo "
  ВОЛОЧИНСК: " VOLOCHINSK "
  ВОЛУЙКИ: " VOLUYKI "
  ВОЛХОВ: " Volkhov "
  ВОЛЧАНСК: " VOLCHANSK "
  ВОЛЧИХА: " wolf "
  ВОЛЫНСК: " VOLYNSKOE "
  ВОЛЬНО-НАДЕЖДИН: " the Free NADEZHDIN "
  ВОЛЬНЯНСК: " Vilnyansk "
  ВОЛЬСК: " VOLSKI "
  ВОРКУТА: " Vorkuta "
  ВОРОБЬЕВКА: " Vorobiev "
  ВОРОНЕЖ: " Voronezh "
  ВОРОНОВО-ВОЛХОВ: " Voronova-Volkhov"
  ВОРОНОВО-ГРОДНО: "Voronova-Grodno "
  ВОРОТЫНЕЦ: " VOROTYNETS "
  ВОСЕ: " WOCE "
  ВОСКРЕСЕНСК: " VOSKRESENSK "
  ВОТКИНСК: " VOTKINSKY "
  ВРАДНЕВКА: " VRADNEVKA "
  ВСЕВОЛЖСК: " Vsevolzhsk "
  ВУАДИЛЬ: " Vuadil "
  ВУКТЫЛ: " Vuktyl "
  ВУЛКАНЕШТЫ: " Vulcanesti "
  ВУРНАРЫ: " Vurnary "
  ВЫБОРГ: " Vyborg "
  ВЫГОНИЧИ: " VYGONICHI "
  ВЫКСА: " Vyksa "
  ВЫЛЬГОРТ: " Vylgort "
  ВЫРИЦА: " Vyritsa "
  ВЫРУ: " Võru "
  ВЫСЕЛКИ: " Vyselki "
  ВЫСКАТКА: " VYSKATKA "
  ? "ВЫСОКАЯ ГОРА"
  : " HIGH MOUNTAIN "
  ВЫСОКОПОЛЬЕ: " Visokopillya "
  ВЫСОЦК: " VYSOTSKY "
  ВЫТЕГРА: " VYTEGRA "
  ВЫШГОРОД: " Vyshgorod "
  ? "ВЫШНИЙ ВОЛОЧЕК"
  : " Vyshnij Volochek"
  ВЯЗЕМСКИЙ: "Vyazemskij "
  ВЯЗНИКИ: " Vyazniki "
  ВЯЗЬМА: " VYAZMA "
  ? "ВЯТСКИЕ ПОЛЯНЫ"
  : " Vyatskiy fields "
  ГАВРИЛОВ-ПОСАД: " Gavrilov-Posad "
  ГАВРИЛОВ-ЯМ: " Gavrilov-Yam "
  ГАВРИЛОВКА: " Gavrilovka "
  ГАВРИЛОВО: " GAVRILOVA "
  ГАГАРИН-ДЖИЗАК: " GAGARIN-Dihzak "
  ГАГАРИН-СМОЛЕНК: " GAGARIN-Smolenka "
  ГАГРЫ: " GAGRA "
  ГАДЯЧ: " Gadyach "
  ГАЗАКЕНТ: " GAZAKENT "
  ГАЙВОРОН: " Gayvoron "
  ГАЙСИН: " Gaisin "
  ГАЛААСИЯ: " Galaasiya "
  ГАЛИЧ-И-ФРАНКОВ: " Galich-AND-Franco "
  ГАЛИЧ-КОСТРОМА: " Galich-Kostroma "
  ГАЛЯАРАЛ: " GALYAARAL "
  ГАНЦЕВИЧИ: " Gantsevich "
  ГАРГЖДАЙ: " Gargzdai "
  ГАСАН-КУЛИ: " Gasan Kuli "
  ГАТЧИНА: " GATCHINA "
  ГАФУРОВ: " GHAFUR "
  ГВАРДЕЙСК: " GUARDS"
  ГВАРДЕЙСКОЕ: "KUYBYSHIVSKE "
  ГДОВ: " Gdov "
  ГЕЛЕНДЖИК: " Gelendzhik "
  ГЕНИЧЕСК: " Genichesk "
  ГЕОК-ТЕПЕ: " Geok-Tepe "
  ГЕОРГИЕВКА-ДЖАМ: " Georgiyevka-Jam "
  ГЕОРГИЕВКА-СЕМИ: " Georgiyevka-SEVEN "
  ГЕОРГИЕВСК: " GEORGIEV "
  ГЕОРГИЕВСКОЕ: " GEORGIEV "
  ГЕОРГИУ-ДЕЖ: " Gheorghiu-Dej "
  ГЕРГЧАЙ: " GERGCHAY "
  ГИССАР: " Hissar "
  ГЛАБИНЕ: " GLABINE "
  ГЛАЖЕВО: " GLAZHEVO "
  ГЛАЗОВ: " eyes "
  ГЛАЗУНКОВКА: " GLAZUNKOVKA "
  ГЛЕБЫЧЕВО: " GLEBYCHEVO "
  ГЛИНКА: " Glinka "
  ГЛОБИНО: " Globino "
  ГЛОДЯНЫ: " CAHUL "
  ГЛУБОКОЕ: " DEEP "
  ГЛУСК: " Hłusk "
  ГЛУХОВ: " GLUKHOV "
  ГЛУШКОВО: " Glushkov "
  ГЛЫБОКАЯ: " Glybokaya"
  ГЛЯДЯНСКОЕ: "GLYADYANSKOE "
  ГНИВАНЬ: " Gnivan "
  ? "ГОЛАЯ ПРИСТАНЬ"
  : " Chirnivtsi "
  ГОЛИЦЫНО: " GOLITSYN "
  ГОЛОВАНЕВСК: " Golovanevsk "
  ГОЛЫШМАНОВО: " Golyshmanovo "
  ГОМЕЛЬ: " Gomel "
  ГОНЧАРОВО: " GONCHAROVA "
  ГОНЬКОВО: " GONKOVO "
  ГОРБУНКИ: " Gorbunkov "
  ГОРДЕЕВКА: " GORDEEVKA "
  ГОРИ: " GORI "
  ГОРИС: " GORIS "
  ГОРКИ: " SLIDES "
  ГОРЛОВКА: " Gorlovka "
  ГОРНО-АЛТАЙСК: " MINING ALTAISK "
  ГОРНОЗАВОДСК: " Gornozavodsk "
  ГОРНОСТАЕВКА: " Gornostaevka "
  ГОРНЫЙ: " Mining "
  ГОРНЯК: " GORNYAK "
  ГОРОДЕНКА: " GORODENCO "
  ГОРОДЕЦ: " GORODETS "
  ГОРОДИЩЕ: " City "
  ГОРОДНЯ: " GORODNYA "
  ГОРОДОК: " TOWN"
  ГОРОХОВ: "PEAS "
  ГОРШЕЧНОЕ: " Plants "
  ГОРЬКИЙ: " GORKIY "
  ГОРЬКИЙ-150: " Gorky-150 "
  ГОРЬКОВСКОЕ: " GORKOVSKAYA "
  ? "ГОРЯЧИЙ КЛЮЧ"
  : " HOT KEYS "
  ГОС-76: " GOS-76 "
  ГОСТИЛИЦЫ: " Gostilitsy "
  ГОСТИНОПОЛЬЕ: " Gostinopolye "
  ГОСТИЦЫ: " GOSTITSY "
  ГОТВАЛЬД: " Gottwald "
  ГОЩА: " Goshcha "
  ГРАХОВО: " Grahovo "
  ГРАЧЕВКА: " Grachevka "
  ГРЕБЕНКА: " Grebenki "
  ГРЕМЯЧИНСК: " Gremyachinsk "
  ГРЕС-19: " TPS-19 "
  ГРИБАНОВСКИЙ: " Gribanovsky "
